景区名称	地区	景区等级	经度	纬度	
世界地质公园屏南白水洋·鸳鸯溪旅游区	福建	5A	119.059139094148	27.0702210654274	
泉州市清源山景区	福建	5A	118.618322524607	24.9510643613266	
宁德市福鼎太姥山风景区	福建	5A	120.192157819943	27.1163766947059	
福州市三坊七巷历史文化街区景区	福建	5A	119.303185973999	26.0884519912804	
龙岩市古田会议会址景区	福建	5A	116.832679995179	25.2225594424476	
江西省九江市庐山风景名胜区	江西	5A	116.001082293324	29.561544033674	
江西省吉安市井冈山风景旅游区	江西	5A	114.143789030002	26.6361669626331	
江西省上饶市三清山风景名胜区	江西	5A	118.076681042964	28.911597065678	
江西省鹰潭市龙虎山景区	江西	5A	117.000551645775	28.0902647779768	
江西省上饶市江湾景区	江西	5A	118.058012547693	29.3741957266378	
江西省景德镇市古窑民俗博览区	江西	5A	117.191563646301	29.2892617931495	
江西省瑞金市“共和国”摇篮旅游区	江西	5A	116.018881678015	25.8899596559709	
江西省宜春市明月山旅游区	江西	5A	114.299102010251	27.6054299920819	
江西省上饶市龟峰景区	江西	5A	117.432958009643	28.3233650292959	
江西省抚州市资溪大觉山景区	江西	5A	117.150124004665	27.70404095573	
江西省南昌市滕王阁旅游区	江西	5A	115.887674905779	28.6873761783679	
江西省萍乡市武功山景区	江西	5A	114.257120959884	27.6038160107479	
天下第一泉	山东	5A	117.021794610551	36.6670730700332	
崂山风景区	山东	5A	120.625651240243	36.1906595670844	
台儿庄古城景区	山东	5A	117.749556010985	34.5638109629103	
黄河口生态旅游区	山东	5A	119.170466022586	37.7382289594489	
烟台市龙口南山景区	山东	5A	120.485952785978	37.5672533741285	
烟台市蓬莱阁(三仙山·八仙过海)旅游区	山东	5A	120.761827528434	37.8304368216479	
青州古城旅游区	山东	5A	118.488022518181	36.685184008173	
济宁市曲阜明故城（三孔）旅游区	山东	5A	116.996161013671	35.5989038784593	
泰山景区	山东	5A	117.094738006097	36.2698929008503	
刘公岛景区	山东	5A	122.197261163859	37.5102943379756	
华夏城旅游景区	山东	5A	122.122165967294	37.4299840004974	
沂蒙山旅游区	山东	5A	117.984395798423	35.5672173281464	
嵩山少林景区	河南	5A	112.961053959499	34.5200369678816	
开封清明上河园	河南	5A	114.347061029154	34.8153209495619	
洛阳市龙门石窟景区	河南	5A	112.48400800995	34.5646490299298	
洛阳白云山国家森林公园	河南	5A	111.849861721628	33.6756323731557	
洛阳市老君山-鸡冠山景区	河南	5A	111.663000341648	33.7518595223832	
龙潭大峡谷	河南	5A	112.00055471669	34.9665932867911	
安阳市殷墟景区	河南	5A	114.316209984042	36.1488068598511	
红旗渠-林州太行风景区	河南	5A	113.821625158394	36.2362676116778	
尧山-大佛景区	河南	5A	112.470402005204	33.7638600819405	
修武县云台山风景名胜区（神农山-青天河）	河南	5A	112.823252906132	35.2186053786076	
老界岭-恐龙遗迹园景区	河南	5A	111.780316525995	33.6509119511994	
嵖岈山风景区	河南	5A	113.736596230008	33.1356553073643	
芒砀山汉文化旅游区	河南	5A	116.522746014994	34.1761290405304	
黄鹤楼公园	湖北	5A	114.309043033192	30.5503169396078	
武汉东湖风景名胜区	湖北	5A	114.420004963684	30.5578688051693	
黄陂木兰生态文化旅游区	湖北	5A	114.291544041857	31.1836928396236	
隆中风景名胜区古隆中景区	湖北	5A	112.036197503054	31.9963383179215	
三峡大坝旅游区	湖北	5A	111.04057029277	30.8327448536319	
三峡人家风景区	湖北	5A	111.162356984318	30.7965528162406	
长阳清江画廊旅游度假区	湖北	5A	111.146513480208	30.4705327163244	
十堰武当山风景名胜区	湖北	5A	111.069986204999	32.4671026840203	
咸宁市赤壁古战场景区	湖北	5A	113.637087949634	29.8851448272992	
恩施州神农溪纤夫文化旅游区	湖北	5A	110.336294910233	31.0445540704717	
恩施大峡谷景区	湖北	5A	109.173292991905	30.4317799543303	
神农架生态旅游区	湖北	5A	110.489586164153	31.4073873884866	
东江湖风景名胜区	湖南	5A	113.317573974762	25.8719590140002	
衡阳市南岳区衡山旅游区	湖南	5A	112.722068028656	27.2756699820658	
崀山风景名胜区	湖南	5A	110.802192515391	26.3599771640899	
韶山风景名胜区	湖南	5A	112.496779744119	27.9105029738489	
岳阳楼洞庭湖─君山岛风景区	湖南	5A	113.013372156285	29.3585999398562	
张家界武陵源风景名胜区	湖南	5A	110.476144805225	29.3597114750814	
张家界市武陵源－天门山旅游区	湖南	5A	110.491514004021	29.0529120189116	
岳麓山·橘子洲旅游区	湖南	5A	112.967719551639	28.1885698067938	
长沙市花明楼景区	湖南	5A	112.650509640569	28.0441972458862	
株洲炎帝陵风景名胜区	湖南	5A	113.678906676195	26.4285986880027	
广州市长隆旅游度假区	广州	5A	113.331838976425	23.0058090176135	
广州市白云山风景区	广州	5A	113.306526883095	23.1912129435341	
深圳市华侨城旅游度假区	深圳	5A	113.991169978146	22.5444058709646	
深圳市观澜湖休闲度假区	深圳	5A	114.085060241204	22.7286523825742	
佛山市西樵山景区	佛山	5A	112.98310258434	22.9292269192646	
佛山市长鹿旅游休博园	佛山	5A	113.295229343853	22.8844084815309	
韶关市丹霞山景区	韶关	5A	113.72765834502	25.0275592996005	
梅州市雁南飞茶田景区	梅州	5A	116.381966075193	24.388231902367	
惠州市罗浮山景区	惠州	5A	114.042830000888	23.2705660433631	
惠州市西湖风景名胜区	惠州	5A	114.403978998845	23.0954610006507	
孙中山故里旅游区	中山	5A	113.534640158799	22.448665155909	
阳江市海陵岛大角湾海上丝路旅游区	阳江	5A	111.848429449287	21.5749234385598	
肇庆市星湖风景名胜区	肇庆	5A	112.476282568322	23.0816569873799	
清远市连州地下河旅游景区	清远	5A	112.336485120836	25.0080568303251	
鹿寨县山楂之恋景区	广西	5A	109.695091969653	24.3212799888586	
桂林漓江景区	广西	5A	110.438262183915	25.1531659047632	
桂林乐满地景区	广西	5A	110.682161921324	25.5898744062858	
桂林独秀峰•王城景区	广西	5A	110.305666541531	25.2877266338811	
玉林市欢天喜地园艺乐园	广西	5A	110.239315540653	22.7392271940883	
钟山状元峰景区	广西	5A	111.321893783265	24.5531076089584	
都安八仙乐园	广西	5A	108.142841967579	23.921937002265	
槟榔谷黎苗文化旅游区	海南	5A	109.672069477407	18.403658347896	
海南呀诺达雨林文化旅游区	海南	5A	109.654936725234	18.4582827332481	
海南分界洲岛旅游区	海南	5A	110.186489876681	18.5932757301301	
大小洞天旅游区	海南	5A	109.164689008581	18.3067330013129	
南山文化旅游区	海南	5A	109.215330891859	18.3051462333351	
定安县衙博物馆	海南	5A	110.325494030571	19.7065839907675	
重庆大足石刻景区	重庆	5A	105.801353770128	29.7545461885543	
重庆巫山小三峡—小小三峡	重庆	5A	109.894762031733	31.0863268570594	
重庆武隆喀斯特旅游区（天生三桥·仙女山·芙蓉洞）	重庆	5A	107.811702751614	29.4393609594561	
重庆酉阳桃花源景区	重庆	5A	108.758913360701	28.8643192351736	
重庆万盛黑山谷景区	重庆	5A	107.004773956344	28.8937450305614	
重庆南川金佛山景区	重庆	5A	107.134484960076	29.0553615397074	
重庆江津四面山景区	重庆	5A	106.397459424992	28.622100619712	
重庆市广益中学校园景区	重庆	5A	106.606832969797	29.5396070185266	
青城山--都江堰旅游景区	四川	5A	103.56919502383	30.911741507466	
峨眉山风景名胜区	四川	5A	103.356303972841	29.5738269903641	
九寨沟风景名胜区	四川	5A	103.921224424369	33.1632228165829	
乐山大佛景区	四川	5A	103.781439990897	29.54754104726	
黄龙国家级风景名胜区	四川	5A	103.826462265952	32.7559804508921	
汶川特别旅游区	四川	5A	103.42593658483	30.9376421886254	
北川羌城旅游区	四川	5A	104.470431974179	31.6134129322352	
邓小平故里旅游区	四川	5A	106.643279392574	30.5252667184686	
阆中古城	四川	5A	105.977670492748	31.58086035447	
剑门蜀道剑门关旅游景区	四川	5A	105.576183175576	32.220348404964	
朱德故里景区	四川	5A	106.608352915023	31.4682477909348	
泸定海螺沟冰川森林公园	四川	5A	102.01960004222	29.5920009954907	
峨山老窖景区	四川	5A	103.338432016289	30.0709802431936	
六盘水市水城玉舍转山景区	贵州	5A	104.793473044206	26.4482910102229	
安顺市黄果树旅游景区	贵州	5A	105.679142000452	25.9857780240668	
安顺市经开娄湖旅游景区	贵州	5A	105.546762041221	25.9168182398025	
毕节市大方九洞天景区	贵州	5A	105.346771027973	26.9854680024349	
铜仁市德江白果坨湿地公园旅游景区	贵州	5A	108.281153258429	28.1958683931752	
黔东南州剑河巫包红绣旅游景区	贵州	5A	107.984731574142	26.5942061446171	
黔西南州普安茶文化生态旅游景区	贵州	5A	105.082344021532	25.7510539581072	
昆明石林风景名胜区	云南	5A	103.330053958729	24.8176250213862	
丽江玉龙雪山景区	云南	5A	100.210479130499	27.1401378068511	
大理崇圣寺三塔文化旅游区	云南	5A	100.149978973066	25.7100563231789	
丽江古城景区	云南	5A	100.24204738272	26.8764640563978	
中国科学院西双版纳热带植物园景区	云南	5A	101.262951023277	21.9316041370171	
迪庆香格里拉普达措景区	云南	5A	99.9131310237394	27.8082830113457	
腾冲火山热海旅游区	云南	5A	98.4471489828119	24.9530766144085	
蒲缥塘子沟景区	云南	5A	99.0133793320181	25.0277631909586	
布达拉宫	西藏	5A	91.1250381361015	29.6603455530524	
大昭寺	西藏	5A	91.1395570887323	29.6559791183412	
扎什伦布寺	西藏	5A	88.8785453869774	29.2710206769678	
达那寺景点	西藏	5A	90.9838651133887	29.6209441261861	
秦始皇帝陵博物院	陕西	5A	109.289197489143	34.39220273186	
陕西华清宫文化旅游景区	陕西	5A	109.221618863933	34.3640344728921	
西安大雁塔-大唐芙蓉园景区	陕西	5A	108.980724407528	34.2189486976745	
西安城墙·碑林历史文化景区	陕西	5A	108.932289121888	34.2654243402655	
法门文化景区	陕西	5A	107.908117984532	34.4407629984262	
太白山旅游景区	陕西	5A	107.821650779194	34.0617449127916	
华山景区	陕西	5A	110.073027975441	34.4976465087753	
延安革命纪念地景区	陕西	5A	109.484034474594	36.6149364845004	
黄帝陵景区	陕西	5A	109.276320189827	35.5913353320842	
抚龙湖景区	陕西	5A	110.110556125409	34.0362534976094	
嘉峪关文物景区	甘肃	5A	98.2264729676196	39.8064660827356	
敦煌鸣沙山·月牙泉景区	甘肃	5A	94.6851936472113	40.0948983775066	
张掖七彩丹霞景区	甘肃	5A	100.075744992165	38.9608230956746	
麦积山景区	甘肃	5A	106.015432022487	34.3571880300301	
敦煌白马塔景区	甘肃	5A	94.6561673300812	40.1378467566495	
青海湖景区	青海	5A	100.502974960505	36.5843019142201	
塔尔寺旅游区	青海	5A	101.57454123555	36.4935970968374	
哈拉湖景区	青海	5A	97.627211026319	38.269902009395	
沙湖旅游区	宁夏	5A	106.368211687788	38.8075232618021	
港中旅（宁夏）沙坡头旅游区	宁夏	5A	105.016730002273	37.4636719756367	
镇北堡西部影城	宁夏	5A	106.077994958882	38.6216901264621	
石嘴山市煤城·记忆文化旅游景区	宁夏	5A	106.404611027052	38.9940810657904	
那拉提景区	新疆	5A	84.0301647220687	43.2460237890448	
佛山国家森林公园	新疆	5A	84.5612249734575	44.1317241469748	
喀纳斯景区	新疆	5A	87.1383769648202	48.5135348175196	
千佛洞景区	新疆	5A	89.1306629195499	43.9857336846583	
新疆农业博览园	新疆	5A	87.3823369885524	44.0577021746737	
东天山风景名胜区	新疆	5A	87.6244209811142	43.7861312880466	
火焰山景区	新疆	5A	89.521139975577	42.9252609457677	
博斯腾湖景区（大河口）	新疆	5A	86.7403552304193	41.9147279980616	
阿克陶县奥依塔克冰川公园景区	新疆	5A	75.5308156987195	38.9852362406168	
南湖旅游度假区	新疆	5A	76.2009337328834	38.9000433915819	
达瓦昆沙漠旅游风景区	新疆	5A	77.0465323348605	39.0567354340052	
上海江南三民文化村景区
上海国际时尚中心	上海	4A
4A	121.564765422081	31.2769932964777	
魏集古镇旅游区	山东	4A 	117.758467111813	37.3374244209123	
石景山游乐园	北京	4A	116.215518344137	39.9178110823161	
八大处公园	北京	4A	116.190195560964	39.9685266228897	
玉渊潭公园	北京	4A	116.326525549227	39.9224666901143	
圆明园遗址公园	北京	4A	116.309804041312	40.0126580664108	
香山公园	北京	4A	116.195043985293	39.9961941741507	
中央电视塔	北京	4A	116.313408222679	39.9252777740212	
北京市植物园	北京	4A	116.216186324114	40.0075610668219	
紫竹院公园	北京	4A	116.32483044673	39.9484370856885	
北京凤凰岭自然风景公园	北京	4A	116.09158793632	40.1128837080956	
戒台寺	北京	4A	116.092691	39.875332	
八奇洞风景区	北京	4A	116.033785030991	39.8995480263171	
潭柘寺	北京	4A	116.037620166705	39.91122022262	
北京十渡风景名胜区	北京	4A	115.606398038848	39.6444030720419	
云居寺	北京	4A	115.781391275922	39.615208178281	
圣莲山旅游度假区	北京	4A	115.737588282306	39.8475320805065	
石花洞	北京	4A	115.949587035202	39.8038921145364	
周口店遗址博物馆	北京	4A	115.94324149491	39.6935889061155	
北京韩美林艺术馆	北京	4A	116.683478741928	39.8814849250127	
通州大运河森林旅游区	北京	4A	116.748886971195	39.8824000841635	
北京奥林匹克水上公园	北京	4A	116.39920583109	39.9992449187344	
北京顺义国际鲜花港	北京	4A	116.803563593688	40.1876884982326	
乐多港假日广场	北京	4A	116.196534004642	40.2388886522698	
小汤山现代农业示范园区	北京	4A	116.430117332163	40.1662480089897	
龙脉温泉度假村	北京	4A	116.405983995315	40.1873150722014	
银山塔林风景区	北京	4A	116.335109038036	40.3209980036677	
温都水城	北京	4A	116.377016966349	40.1102640888901	
中国航空博物馆	北京	4A	116.372885030495	40.1920950444858	
居庸关长城	北京	4A	116.079159430436	40.2969717197991	
绿野晴川野生动物园	北京	4A	116.342197297324	39.5024546859244	
北京市青龙峡旅游度假有限责任公司	北京	4A	116.689258978562	40.4678709779654	
红螺寺	北京	4A	116.632410971991	40.3904540214025	
北京黄花城水长城旅游区	北京	4A	116.307167424809	40.419286776256	
雁栖湖旅游区	北京	4A	116.673574115205	40.3986828703085	
京东大峡谷旅游区	北京	4A	117.176847980559	40.2511430734421	
金海湖风景区	北京	4A	117.310896003336	40.1873480743271	
北京京东石林峡景区服务管理有限公司	北京	4A	117.248510122957	40.2687941106593	
北京渔阳国际滑雪场景区	北京	4A	117.154292966492	40.0858999819859	
北京丫髻山道教文化名胜区	北京	4A	116.988598628735	40.2708123406974	
司马台长城景区	北京	4A	117.292855962593	40.6636489912676	
仙居谷风景区	北京	4A	117.244404956607	40.5949679823609	
北京张裕爱菲堡国际酒庄	北京	4A	116.908451990796	40.3819430459866	
黑龙潭旅游区	北京	4A	116.793736760222	40.5693548717839	
龙庆峡旅游区	北京	4A	116.009927473935	40.5577652911627	
野鸭湖国家湿地公园	北京	4A	115.864188004946	40.4166720173676	
八达岭水关长城景区	北京	4A	116.024066982323	40.3626390503888	
北京八达岭世界葡萄博览中心	北京	4A	115.879672007191	40.4715230534881	
延庆百里山水画廊景区	北京	4A	116.326241505025	40.7065303053954	
松山森林旅游区	北京	4A	115.836963958161	40.5152890150235	
孔庙和国子监博物馆	北京	4A	116.420266873263	39.9528800017877	
中山公园	北京	4A	116.400582035131	39.9167022970157	
明城墙遗址公园	北京	4A	116.434545349513	39.9072094716682	
地坛公园	北京	4A	116.421358224627	39.9599030323261	
龙潭公园	北京	4A	116.444742015357	39.8858480673587	
北海公园	北京	4A	116.395479570004	39.9329094855128	
北京海洋馆	北京	4A	116.347541945617	39.9502772736695	
首都博物馆	北京	4A	116.348821761477	39.9121739985131	
景山公园	北京	4A	116.402818007376	39.9322700498119	
北京动物园	北京	4A	116.343375963983	39.9477350838658	
北京天文馆	北京	4A	116.3432075317	39.9432727463021	
什刹海风景区	北京	4A	116.391128	39.947583	
陶然亭公园	北京	4A	116.388442	39.88066	
北京市朝阳区元大都城垣遗址公园	北京	4A	116.409246	39.982403	
蟹岛绿色生态农庄	北京	4A	116.554475	40.025529	
朝阳公园	北京	4A	116.489233	39.949861	
北京欢乐谷	北京	4A	116.501365984534	39.8738480603042	
北京中国紫檀博物馆	北京	4A	116.532472	39.916944	
世界公园	北京	4A	116.293994	39.816772	
北京园博园	北京	4A	116.197194	39.881733	
中国园林博物馆	北京	4A	116.183773	39.885338	
世界花卉大观园	北京	4A	116.359769	39.840957	
南宫旅游景区	北京	4A	116.159462	39.801509	
中国人民抗日战争纪念馆	北京	4A	116.232474	39.857753	
北京汽车博物馆	北京	4A	116.308469	39.834959	
北京市丰台区北宫国家森林公园管理处	北京	4A	116.12471	39.871839	
天津周恩来邓颖超纪念馆	天津	4A	117.17134	39.100099	
平津战役纪念馆景区	天津	4A	117.153464	39.175123	
天津水上公园景区	天津	4A	117.174282	39.09454	
天津蓟州区独乐寺景区	天津	4A	117.409625	40.051476	
石家大院景区	天津	4A	117.016977267593	39.1412394599116	
天津泰达航母主题公园景区	天津	4A	117.820941	39.162358	
“天津之眼”摩天轮	天津	4A	117.193047	39.159697	
大沽口炮台遗址博物馆景区	天津	4A	117.716071	38.983732	
天山海世界米立方水上乐园	天津	4A	117.442537	38.933349	
天津东疆湾景区	天津	4A	117.832457	39.013278	
天津方特欢乐世界景区	天津	4A	117.74575	39.160382	
天津天塔湖风景区	天津	4A	117.188361	39.098582	
天津市河北区北宁公园景区	天津	4A	117.221004	39.175574	
精武门·中华武林园	天津	4A	117.138846	39.035062	
萨马兰奇纪念馆景区	天津	4A	117.090861	38.974599	
杨柳青庄园景区	天津	4A	116.980184	39.16151	
天津黄崖关长城风景游览区	天津	4A	117.455599	40.254002	
天士力大健康城景区	天津	4A	117.221391	39.215664	
仁爱团泊湖国际休闲博览园景区	天津	4A	117.164821	38.910805	
天津市河北区大悲禅院景区	天津	4A	117.197214	39.161493	
天津光合谷旅游度假区	天津	4A	117.172806	38.894874	
水高庄园景区	天津	4A	116.939546	39.095138	
天津南湖绿博园景区	天津	4A	117.137101	39.341121	
天津金街文化旅游区	天津	4A	117.199184	39.149532	
国家海洋博物馆	天津	4A	117.801768	39.112442	
天津热带植物观光园景区	天津	4A	117.101183	39.144264	
天津海河意式风情区	天津	4A	117.204183	39.140575	
天津海昌极地海洋公园景区	天津	4A	117.668413	39.01542	
天津市蓟州区梨木台景区	天津	4A	117.550008	40.211406	
天津欢乐谷景区	天津	4A	117.482987	39.193967	
五大道文化旅游区	天津	4A	117.209997	39.116392	
天山海世界景区	河北	4A	114.60771497288	38.0436557617794	
华北军区烈士陵园红色景区	河北	4A	114.470755002962	38.0497750466728	
苍岩山景区	河北	4A	114.178315956055	37.84026799941	
正定县隆兴寺景区	河北	4A	114.588753989328	38.150796062419	
正定荣国府	河北	4A	114.585748438752	38.1543864263317	
五岳寨风景旅游区	河北	4A	113.88319699432	38.6969350642512	
石家庄市灵寿县水泉溪景区	河北	4A	113.914804951655	38.6495150327341	
石家庄市灵寿秋山景区	河北	4A	114.162869952133	38.5474531610099	
嶂石岩景区	河北	4A	114.123539980973	37.5405370203448	
石家庄市赞皇县棋盘山景区	河北	4A	114.111854553408	37.6342321791542	
平山县天桂山风景名胜区	河北	4A	113.756112995179	38.2661570371183	
平山县驼梁景区	河北	4A	113.824636997108	38.731096996587	
石家庄市华莹白鹿温泉景区	河北	4A	113.987807096382	38.2558550749548	
石家庄市平山西苑温泉景区	河北	4A	113.988199027076	38.2728660774197	
石家庄市平山东方巨龟苑	河北	4A	114.161730990577	38.231707082158	
平山县沕沕水景区	河北	4A	113.75742398224	38.206178043089	
藤龙山自然风景区	河北	4A	114.097181002394	38.5327608112893	
平山县黑山大峡谷景区	河北	4A	113.595514295428	38.556779010501	
石家庄市佛光山景区	河北	4A	113.754576623265	38.2769360986442	
石家庄市紫云山景区	河北	4A	113.852441618745	38.222624677818	
石家庄市赵县赵州桥景区	河北	4A	114.775506854002	37.7282195456191	
国御温泉度假小镇	河北	4A	114.765994966449	38.0369120658807	
石家庄市鹿泉区抱犊寨景区	河北	4A	114.283595475383	38.0942460317214	
石家庄市双凤山旅游区	河北	4A	114.397672280231	38.0211516936686	
君乐宝乳业工业旅游区	河北	4A	114.574275011287	38.4183835100037	
承德市围场县塞罕坝国家森林公园	河北	4A	117.397339044255	42.3667789224542	
承德市围场县御道口草原森林风景区	河北	4A	117.18938203734	42.2990524343736	
承德市丰宁县京北第一草原景区	河北	4A	116.215567032296	41.4804788357113	
承德市滦平县金山岭长城旅游区	河北	4A	117.252129575517	40.6926571179874	
承德市双滦区双塔山景区	河北	4A	117.812786927357	40.9652312848499	
承德市隆化县董存瑞纪念馆	河北	4A	117.737045040656	41.3307788924014	
兴隆溶洞	河北	4A	117.49792922916	40.4965524700903	
丰宁满族自治县大汗行宫旅游景区	河北	4A	115.953399803109	41.6374426820818	
桥西安家沟生态旅游区	河北	4A	114.869345015372	40.8678239435484	
崇礼万龙滑雪场	河北	4A	115.405575284462	40.9688490201369	
沽源塞外庄园	河北	4A	115.802321704474	41.660238838419	
张北中都原始草原度假村	河北	4A	114.741933763534	41.3135624629221	
